County,State,State_FIPS,County_FIPS,FIPS
Autauga,Alabama,1,1,1001
Baldwin,Alabama,1,3,1003
Barbour,Alabama,1,5,1005
Bibb,Alabama,1,7,1007
Blount,Alabama,1,9,1009
Bullock,Alabama,1,11,1011
Butler,Alabama,1,13,1013
Calhoun,Alabama,1,15,1015
Chambers,Alabama,1,17,1017
Cherokee,Alabama,1,19,1019
Chilton,Alabama,1,21,1021
Choctaw,Alabama,1,23,1023
Clarke,Alabama,1,25,1025
Clay,Alabama,1,27,1027
Cleburne,Alabama,1,29,1029
Coffee,Alabama,1,31,1031
Colbert,Alabama,1,33,1033
Conecuh,Alabama,1,35,1035
Coosa,Alabama,1,37,1037
Covington,Alabama,1,39,1039
Crenshaw,Alabama,1,41,1041
Cullman,Alabama,1,43,1043
Dale,Alabama,1,45,1045
Dallas,Alabama,1,47,1047
De Kalb,Alabama,1,49,1049
Elmore,Alabama,1,51,1051
Escambia,Alabama,1,53,1053
Etowah,Alabama,1,55,1055
Fayette,Alabama,1,57,1057
Franklin,Alabama,1,59,1059
Geneva,Alabama,1,61,1061
Greene,Alabama,1,63,1063
Hale,Alabama,1,65,1065
Henry,Alabama,1,67,1067
Houston,Alabama,1,69,1069
Jackson,Alabama,1,71,1071
Jefferson,Alabama,1,73,1073
Lamar,Alabama,1,75,1075
Lauderdale,Alabama,1,77,1077
Lawrence,Alabama,1,79,1079
Lee,Alabama,1,81,1081
Limestone,Alabama,1,83,1083
Lowndes,Alabama,1,85,1085
Macon,Alabama,1,87,1087
Madison,Alabama,1,89,1089
Marengo,Alabama,1,91,1091
Marion,Alabama,1,93,1093
Marshall,Alabama,1,95,1095
Mobile,Alabama,1,97,1097
Monroe,Alabama,1,99,1099
Montgomery,Alabama,1,101,1101
Morgan,Alabama,1,103,1103
Perry,Alabama,1,105,1105
Pickens,Alabama,1,107,1107
Pike,Alabama,1,109,1109
Randolph,Alabama,1,111,1111
Russell,Alabama,1,113,1113
Shelby,Alabama,1,117,1117
St. Clair,Alabama,1,115,1115
Sumter,Alabama,1,119,1119
Talladega,Alabama,1,121,1121
Tallapoosa,Alabama,1,123,1123
Tuscaloosa,Alabama,1,125,1125
Walker,Alabama,1,127,1127
Washington,Alabama,1,129,1129
Wilcox,Alabama,1,131,1131
Winston,Alabama,1,133,1133
Apache,Arizona,4,1,4001
Cochise,Arizona,4,3,4003
Coconino,Arizona,4,5,4005
Gila,Arizona,4,7,4007
Graham,Arizona,4,9,4009
Greenlee,Arizona,4,11,4011
La Paz,Arizona,4,12,4012
Maricopa,Arizona,4,13,4013
Mohave,Arizona,4,15,4015
Navajo,Arizona,4,17,4017
Pima,Arizona,4,19,4019
Pinal,Arizona,4,21,4021
Santa Cruz,Arizona,4,23,4023
Yavapai,Arizona,4,25,4025
Yuma,Arizona,4,27,4027
Arkansas,Arkansas,5,1,5001
Ashley,Arkansas,5,3,5003
Baxter,Arkansas,5,5,5005
Benton,Arkansas,5,7,5007
Boone,Arkansas,5,9,5009
Bradley,Arkansas,5,11,5011
Calhoun,Arkansas,5,13,5013
Carroll,Arkansas,5,15,5015
Chicot,Arkansas,5,17,5017
Clark,Arkansas,5,19,5019
Clay,Arkansas,5,21,5021
Cleburne,Arkansas,5,23,5023
Cleveland,Arkansas,5,25,5025
Columbia,Arkansas,5,27,5027
Conway,Arkansas,5,29,5029
Craighead,Arkansas,5,31,5031
Crawford,Arkansas,5,33,5033
Crittenden,Arkansas,5,35,5035
Cross,Arkansas,5,37,5037
Dallas,Arkansas,5,39,5039
Desha,Arkansas,5,41,5041
Drew,Arkansas,5,43,5043
Faulkner,Arkansas,5,45,5045
Franklin,Arkansas,5,47,5047
Fulton,Arkansas,5,49,5049
Garland,Arkansas,5,51,5051
Grant,Arkansas,5,53,5053
Greene,Arkansas,5,55,5055
Hempstead,Arkansas,5,57,5057
Hot Spring,Arkansas,5,59,5059
Howard,Arkansas,5,61,5061
Independence,Arkansas,5,63,5063
Izard,Arkansas,5,65,5065
Jackson,Arkansas,5,67,5067
Jefferson,Arkansas,5,69,5069
Johnson,Arkansas,5,71,5071
Lafayette,Arkansas,5,73,5073
Lawrence,Arkansas,5,75,5075
Lee,Arkansas,5,77,5077
Lincoln,Arkansas,5,79,5079
Little River,Arkansas,5,81,5081
Logan,Arkansas,5,83,5083
Lonoke,Arkansas,5,85,5085
Madison,Arkansas,5,87,5087
Marion,Arkansas,5,89,5089
Miller,Arkansas,5,91,5091
Mississippi,Arkansas,5,93,5093
Monroe,Arkansas,5,95,5095
Montgomery,Arkansas,5,97,5097
Nevada,Arkansas,5,99,5099
Newton,Arkansas,5,101,5101
Ouachita,Arkansas,5,103,5103
Perry,Arkansas,5,105,5105
Phillips,Arkansas,5,107,5107
Pike,Arkansas,5,109,5109
Poinsett,Arkansas,5,111,5111
Polk,Arkansas,5,113,5113
Pope,Arkansas,5,115,5115
Prairie,Arkansas,5,117,5117
Pulaski,Arkansas,5,119,5119
Randolph,Arkansas,5,121,5121
Saline,Arkansas,5,125,5125
Scott,Arkansas,5,127,5127
Searcy,Arkansas,5,129,5129
Sebastian,Arkansas,5,131,5131
Sevier,Arkansas,5,133,5133
Sharp,Arkansas,5,135,5135
St. Francis,Arkansas,5,123,5123
Stone,Arkansas,5,137,5137
Union,Arkansas,5,139,5139
Van Buren,Arkansas,5,141,5141
Washington,Arkansas,5,143,5143
White,Arkansas,5,145,5145
Woodruff,Arkansas,5,147,5147
Yell,Arkansas,5,149,5149
Alameda,California,6,1,6001
Alpine,California,6,3,6003
Amador,California,6,5,6005
Butte,California,6,7,6007
Calaveras,California,6,9,6009
Colusa,California,6,11,6011
Contra Costa,California,6,13,6013
Del Norte,California,6,15,6015
El Dorado,California,6,17,6017
Fresno,California,6,19,6019
Glenn,California,6,21,6021
Humboldt,California,6,23,6023
Imperial,California,6,25,6025
Inyo,California,6,27,6027
Kern,California,6,29,6029
Kings,California,6,31,6031
Lake,California,6,33,6033
Lassen,California,6,35,6035
Los Angeles,California,6,37,6037
Madera,California,6,39,6039
Marin,California,6,41,6041
Mariposa,California,6,43,6043
Mendocino,California,6,45,6045
Merced,California,6,47,6047
Modoc,California,6,49,6049
Mono,California,6,51,6051
Monterey,California,6,53,6053
Napa,California,6,55,6055
Nevada,California,6,57,6057
Orange,California,6,59,6059
Placer,California,6,61,6061
Plumas,California,6,63,6063
Riverside,California,6,65,6065
Sacramento,California,6,67,6067
San Benito,California,6,69,6069
San Bernardino,California,6,71,6071
San Diego,California,6,73,6073
San Francisco,California,6,75,6075
San Joaquin,California,6,77,6077
San Luis Obispo,California,6,79,6079
San Mateo,California,6,81,6081
Santa Barbara,California,6,83,6083
Santa Clara,California,6,85,6085
Santa Cruz,California,6,87,6087
Shasta,California,6,89,6089
Sierra,California,6,91,6091
Siskiyou,California,6,93,6093
Solano,California,6,95,6095
Sonoma,California,6,97,6097
Stanislaus,California,6,99,6099
Sutter,California,6,101,6101
Tehama,California,6,103,6103
Trinity,California,6,105,6105
Tulare,California,6,107,6107
Tuolumne,California,6,109,6109
Ventura,California,6,111,6111
Yolo,California,6,113,6113
Yuba,California,6,115,6115
Adams,Colorado,8,1,8001
Alamosa,Colorado,8,3,8003
Arapahoe,Colorado,8,5,8005
Archuleta,Colorado,8,7,8007
Baca,Colorado,8,9,8009
Bent,Colorado,8,11,8011
Boulder,Colorado,8,13,8013
Chaffee,Colorado,8,15,8015
Cheyenne,Colorado,8,17,8017
Clear Creek,Colorado,8,19,8019
Conejos,Colorado,8,21,8021
Costilla,Colorado,8,23,8023
Crowley,Colorado,8,25,8025
Custer,Colorado,8,27,8027
Delta,Colorado,8,29,8029
Denver,Colorado,8,31,8031
Dolores,Colorado,8,33,8033
Douglas,Colorado,8,35,8035
Eagle,Colorado,8,37,8037
El Paso,Colorado,8,41,8041
Elbert,Colorado,8,39,8039
Fremont,Colorado,8,43,8043
Garfield,Colorado,8,45,8045
Gilpin,Colorado,8,47,8047
Grand,Colorado,8,49,8049
Gunnison,Colorado,8,51,8051
Hinsdale,Colorado,8,53,8053
Huerfano,Colorado,8,55,8055
Jackson,Colorado,8,57,8057
Jefferson,Colorado,8,59,8059
Kiowa,Colorado,8,61,8061
Kit Carson,Colorado,8,63,8063
La Plata,Colorado,8,67,8067
Lake,Colorado,8,65,8065
Larimer,Colorado,8,69,8069
Las Animas,Colorado,8,71,8071
Lincoln,Colorado,8,73,8073
Logan,Colorado,8,75,8075
Mesa,Colorado,8,77,8077
Mineral,Colorado,8,79,8079
Moffat,Colorado,8,81,8081
Montezuma,Colorado,8,83,8083
Montrose,Colorado,8,85,8085
Morgan,Colorado,8,87,8087
Otero,Colorado,8,89,8089
Ouray,Colorado,8,91,8091
Park,Colorado,8,93,8093
Phillips,Colorado,8,95,8095
Pitkin,Colorado,8,97,8097
Prowers,Colorado,8,99,8099
Pueblo,Colorado,8,101,8101
Rio Blanco,Colorado,8,103,8103
Rio Grande,Colorado,8,105,8105
Routt,Colorado,8,107,8107
Saguache,Colorado,8,109,8109
San Juan,Colorado,8,111,8111
San Miguel,Colorado,8,113,8113
Sedgwick,Colorado,8,115,8115
Summit,Colorado,8,117,8117
Teller,Colorado,8,119,8119
Washington,Colorado,8,121,8121
Weld,Colorado,8,123,8123
Yuma,Colorado,8,125,8125
Fairfield,Connecticut,9,1,9001
Hartford,Connecticut,9,3,9003
Litchfield,Connecticut,9,5,9005
Middlesex,Connecticut,9,7,9007
New Haven,Connecticut,9,9,9009
New London,Connecticut,9,11,9011
Tolland,Connecticut,9,13,9013
Windham,Connecticut,9,15,9015
Kent,Delaware,10,1,10001
New Castle,Delaware,10,3,10003
Sussex,Delaware,10,5,10005
Washington,District of Columbia,11,1,11001
Alachua,Florida,12,1,12001
Baker,Florida,12,3,12003
Bay,Florida,12,5,12005
Bradford,Florida,12,7,12007
Brevard,Florida,12,9,12009
Broward,Florida,12,11,12011
Calhoun,Florida,12,13,12013
Charlotte,Florida,12,15,12015
Citrus,Florida,12,17,12017
Clay,Florida,12,19,12019
Collier,Florida,12,21,12021
Columbia,Florida,12,23,12023
Dade,Florida,12,25,12025
De Soto,Florida,12,27,12027
Dixie,Florida,12,29,12029
Duval,Florida,12,31,12031
Escambia,Florida,12,33,12033
Flagler,Florida,12,35,12035
Franklin,Florida,12,37,12037
Gadsden,Florida,12,39,12039
Gilchrist,Florida,12,41,12041
Glades,Florida,12,43,12043
Gulf,Florida,12,45,12045
Hamilton,Florida,12,47,12047
Hardee,Florida,12,49,12049
Hendry,Florida,12,51,12051
Hernando,Florida,12,53,12053
Highlands,Florida,12,55,12055
Hillsborough,Florida,12,57,12057
Holmes,Florida,12,59,12059
Indian River,Florida,12,61,12061
Jackson,Florida,12,63,12063
Jefferson,Florida,12,65,12065
Lafayette,Florida,12,67,12067
Lake,Florida,12,69,12069
Lee,Florida,12,71,12071
Leon,Florida,12,73,12073
Levy,Florida,12,75,12075
Liberty,Florida,12,77,12077
Madison,Florida,12,79,12079
Manatee,Florida,12,81,12081
Marion,Florida,12,83,12083
Martin,Florida,12,85,12085
Monroe,Florida,12,87,12087
Nassau,Florida,12,89,12089
Okaloosa,Florida,12,91,12091
Okeechobee,Florida,12,93,12093
Orange,Florida,12,95,12095
Osceola,Florida,12,97,12097
Palm Beach,Florida,12,99,12099
Pasco,Florida,12,101,12101
Pinellas,Florida,12,103,12103
Polk,Florida,12,105,12105
Putnam,Florida,12,107,12107
Santa Rosa,Florida,12,113,12113
Sarasota,Florida,12,115,12115
Seminole,Florida,12,117,12117
St. Johns,Florida,12,109,12109
St. Lucie,Florida,12,111,12111
Sumter,Florida,12,119,12119
Suwannee,Florida,12,121,12121
Taylor,Florida,12,123,12123
Union,Florida,12,125,12125
Volusia,Florida,12,127,12127
Wakulla,Florida,12,129,12129
Walton,Florida,12,131,12131
Washington,Florida,12,133,12133
Appling,Georgia,13,1,13001
Atkinson,Georgia,13,3,13003
Bacon,Georgia,13,5,13005
Baker,Georgia,13,7,13007
Baldwin,Georgia,13,9,13009
Banks,Georgia,13,11,13011
Barrow,Georgia,13,13,13013
Bartow,Georgia,13,15,13015
Ben Hill,Georgia,13,17,13017
Berrien,Georgia,13,19,13019
Bibb,Georgia,13,21,13021
Bleckley,Georgia,13,23,13023
Brantley,Georgia,13,25,13025
Brooks,Georgia,13,27,13027
Bryan,Georgia,13,29,13029
Bulloch,Georgia,13,31,13031
Burke,Georgia,13,33,13033
Butts,Georgia,13,35,13035
Calhoun,Georgia,13,37,13037
Camden,Georgia,13,39,13039
Candler,Georgia,13,43,13043
Carroll,Georgia,13,45,13045
Catoosa,Georgia,13,47,13047
Charlton,Georgia,13,49,13049
Chatham,Georgia,13,51,13051
Chattahoochee,Georgia,13,53,13053
Chattooga,Georgia,13,55,13055
Cherokee,Georgia,13,57,13057
Clarke,Georgia,13,59,13059
Clay,Georgia,13,61,13061
Clayton,Georgia,13,63,13063
Clinch,Georgia,13,65,13065
Cobb,Georgia,13,67,13067
Coffee,Georgia,13,69,13069
Colquitt,Georgia,13,71,13071
Columbia,Georgia,13,73,13073
Cook,Georgia,13,75,13075
Coweta,Georgia,13,77,13077
Crawford,Georgia,13,79,13079
Crisp,Georgia,13,81,13081
Dade,Georgia,13,83,13083
Dawson,Georgia,13,85,13085
De Kalb,Georgia,13,89,13089
Decatur,Georgia,13,87,13087
Dodge,Georgia,13,91,13091
Dooly,Georgia,13,93,13093
Dougherty,Georgia,13,95,13095
Douglas,Georgia,13,97,13097
Early,Georgia,13,99,13099
Echols,Georgia,13,101,13101
Effingham,Georgia,13,103,13103
Elbert,Georgia,13,105,13105
Emanuel,Georgia,13,107,13107
Evans,Georgia,13,109,13109
Fannin,Georgia,13,111,13111
Fayette,Georgia,13,113,13113
Floyd,Georgia,13,115,13115
Forsyth,Georgia,13,117,13117
Franklin,Georgia,13,119,13119
Fulton,Georgia,13,121,13121
Gilmer,Georgia,13,123,13123
Glascock,Georgia,13,125,13125
Glynn,Georgia,13,127,13127
Gordon,Georgia,13,129,13129
Grady,Georgia,13,131,13131
Greene,Georgia,13,133,13133
Gwinnett,Georgia,13,135,13135
Habersham,Georgia,13,137,13137
Hall,Georgia,13,139,13139
Hancock,Georgia,13,141,13141
Haralson,Georgia,13,143,13143
Harris,Georgia,13,145,13145
Hart,Georgia,13,147,13147
Heard,Georgia,13,149,13149
Henry,Georgia,13,151,13151
Houston,Georgia,13,153,13153
Irwin,Georgia,13,155,13155
Jackson,Georgia,13,157,13157
Jasper,Georgia,13,159,13159
Jeff Davis,Georgia,13,161,13161
Jefferson,Georgia,13,163,13163
Jenkins,Georgia,13,165,13165
Johnson,Georgia,13,167,13167
Jones,Georgia,13,169,13169
Lamar,Georgia,13,171,13171
Lanier,Georgia,13,173,13173
Laurens,Georgia,13,175,13175
Lee,Georgia,13,177,13177
Liberty,Georgia,13,179,13179
Lincoln,Georgia,13,181,13181
Long,Georgia,13,183,13183
Lowndes,Georgia,13,185,13185
Lumpkin,Georgia,13,187,13187
Macon,Georgia,13,193,13193
Madison,Georgia,13,195,13195
Marion,Georgia,13,197,13197
McDuffie,Georgia,13,189,13189
McIntosh,Georgia,13,191,13191
Meriwether,Georgia,13,199,13199
Miller,Georgia,13,201,13201
Mitchell,Georgia,13,205,13205
Monroe,Georgia,13,207,13207
Montgomery,Georgia,13,209,13209
Morgan,Georgia,13,211,13211
Murray,Georgia,13,213,13213
Muscogee,Georgia,13,215,13215
Newton,Georgia,13,217,13217
Oconee,Georgia,13,219,13219
Oglethorpe,Georgia,13,221,13221
Paulding,Georgia,13,223,13223
Peach,Georgia,13,225,13225
Pickens,Georgia,13,227,13227
Pierce,Georgia,13,229,13229
Pike,Georgia,13,231,13231
Polk,Georgia,13,233,13233
Pulaski,Georgia,13,235,13235
Putnam,Georgia,13,237,13237
Quitman,Georgia,13,239,13239
Rabun,Georgia,13,241,13241
Randolph,Georgia,13,243,13243
Richmond,Georgia,13,245,13245
Rockdale,Georgia,13,247,13247
Schley,Georgia,13,249,13249
Screven,Georgia,13,251,13251
Seminole,Georgia,13,253,13253
Spalding,Georgia,13,255,13255
Stephens,Georgia,13,257,13257
Stewart,Georgia,13,259,13259
Sumter,Georgia,13,261,13261
Talbot,Georgia,13,263,13263
Taliaferro,Georgia,13,265,13265
Tattnall,Georgia,13,267,13267
Taylor,Georgia,13,269,13269
Telfair,Georgia,13,271,13271
Terrell,Georgia,13,273,13273
Thomas,Georgia,13,275,13275
Tift,Georgia,13,277,13277
Toombs,Georgia,13,279,13279
Towns,Georgia,13,281,13281
Treutlen,Georgia,13,283,13283
Troup,Georgia,13,285,13285
Turner,Georgia,13,287,13287
Twiggs,Georgia,13,289,13289
Union,Georgia,13,291,13291
Upson,Georgia,13,293,13293
Walker,Georgia,13,295,13295
Walton,Georgia,13,297,13297
Ware,Georgia,13,299,13299
Warren,Georgia,13,301,13301
Washington,Georgia,13,303,13303
Wayne,Georgia,13,305,13305
Webster,Georgia,13,307,13307
Wheeler,Georgia,13,309,13309
White,Georgia,13,311,13311
Whitfield,Georgia,13,313,13313
Wilcox,Georgia,13,315,13315
Wilkes,Georgia,13,317,13317
Wilkinson,Georgia,13,319,13319
Worth,Georgia,13,321,13321
Ada,Idaho,16,1,16001
Adams,Idaho,16,3,16003
Bannock,Idaho,16,5,16005
Bear Lake,Idaho,16,7,16007
Benewah,Idaho,16,9,16009
Bingham,Idaho,16,11,16011
Blaine,Idaho,16,13,16013
Boise,Idaho,16,15,16015
Bonner,Idaho,16,17,16017
Bonneville,Idaho,16,19,16019
Boundary,Idaho,16,21,16021
Butte,Idaho,16,23,16023
Camas,Idaho,16,25,16025
Canyon,Idaho,16,27,16027
Caribou,Idaho,16,29,16029
Cassia,Idaho,16,31,16031
Clark,Idaho,16,33,16033
Clearwater,Idaho,16,35,16035
Custer,Idaho,16,37,16037
Elmore,Idaho,16,39,16039
Franklin,Idaho,16,41,16041
Fremont,Idaho,16,43,16043
Gem,Idaho,16,45,16045
Gooding,Idaho,16,47,16047
Idaho,Idaho,16,49,16049
Jefferson,Idaho,16,51,16051
Jerome,Idaho,16,53,16053
Kootenai,Idaho,16,55,16055
Latah,Idaho,16,57,16057
Lemhi,Idaho,16,59,16059
Lewis,Idaho,16,61,16061
Lincoln,Idaho,16,63,16063
Madison,Idaho,16,65,16065
Minidoka,Idaho,16,67,16067
Nez Perce,Idaho,16,69,16069
Oneida,Idaho,16,71,16071
Owyhee,Idaho,16,73,16073
Payette,Idaho,16,75,16075
Power,Idaho,16,77,16077
Shoshone,Idaho,16,79,16079
Teton,Idaho,16,81,16081
Twin Falls,Idaho,16,83,16083
Valley,Idaho,16,85,16085
Washington,Idaho,16,87,16087
Adams,Illinois,17,1,17001
Alexander,Illinois,17,3,17003
Bond,Illinois,17,5,17005
Boone,Illinois,17,7,17007
Brown,Illinois,17,9,17009
Bureau,Illinois,17,11,17011
Calhoun,Illinois,17,13,17013
Carroll,Illinois,17,15,17015
Cass,Illinois,17,17,17017
Champaign,Illinois,17,19,17019
Christian,Illinois,17,21,17021
Clark,Illinois,17,23,17023
Clay,Illinois,17,25,17025
Clinton,Illinois,17,27,17027
Coles,Illinois,17,29,17029
Cook,Illinois,17,31,17031
Crawford,Illinois,17,33,17033
Cumberland,Illinois,17,35,17035
De Kalb,Illinois,17,37,17037
De Witt,Illinois,17,39,17039
Douglas,Illinois,17,41,17041
Du Page,Illinois,17,43,17043
Edgar,Illinois,17,45,17045
Edwards,Illinois,17,47,17047
Effingham,Illinois,17,49,17049
Fayette,Illinois,17,51,17051
Ford,Illinois,17,53,17053
Franklin,Illinois,17,55,17055
Fulton,Illinois,17,57,17057
Gallatin,Illinois,17,59,17059
Greene,Illinois,17,61,17061
Grundy,Illinois,17,63,17063
Hamilton,Illinois,17,65,17065
Hancock,Illinois,17,67,17067
Hardin,Illinois,17,69,17069
Henderson,Illinois,17,71,17071
Henry,Illinois,17,73,17073
Iroquois,Illinois,17,75,17075
Jackson,Illinois,17,77,17077
Jasper,Illinois,17,79,17079
Jefferson,Illinois,17,81,17081
Jersey,Illinois,17,83,17083
Jo Daviess,Illinois,17,85,17085
Johnson,Illinois,17,87,17087
Kane,Illinois,17,89,17089
Kankakee,Illinois,17,91,17091
Kendall,Illinois,17,93,17093
Knox,Illinois,17,95,17095
La Salle,Illinois,17,99,17099
Lake,Illinois,17,97,17097
Lawrence,Illinois,17,101,17101
Lee,Illinois,17,103,17103
Livingston,Illinois,17,105,17105
Logan,Illinois,17,107,17107
Macon,Illinois,17,115,17115
Macoupin,Illinois,17,117,17117
Madison,Illinois,17,119,17119
Marion,Illinois,17,121,17121
Marshall,Illinois,17,123,17123
Mason,Illinois,17,125,17125
Massac,Illinois,17,127,17127
McDonough,Illinois,17,109,17109
McHenry,Illinois,17,111,17111
McLean,Illinois,17,113,17113
Menard,Illinois,17,129,17129
Mercer,Illinois,17,131,17131
Monroe,Illinois,17,133,17133
Montgomery,Illinois,17,135,17135
Morgan,Illinois,17,137,17137
Moultrie,Illinois,17,139,17139
Ogle,Illinois,17,141,17141
Peoria,Illinois,17,143,17143
Perry,Illinois,17,145,17145
Piatt,Illinois,17,147,17147
Pike,Illinois,17,149,17149
Pope,Illinois,17,151,17151
Pulaski,Illinois,17,153,17153
Putnam,Illinois,17,155,17155
Randolph,Illinois,17,157,17157
Richland,Illinois,17,159,17159
Rock Island,Illinois,17,161,17161
Saline,Illinois,17,165,17165
Sangamon,Illinois,17,167,17167
Schuyler,Illinois,17,169,17169
Scott,Illinois,17,171,17171
Shelby,Illinois,17,173,17173
St. Clair,Illinois,17,163,17163
Stark,Illinois,17,175,17175
Stephenson,Illinois,17,177,17177
Tazewell,Illinois,17,179,17179
Union,Illinois,17,181,17181
Vermilion,Illinois,17,183,17183
Wabash,Illinois,17,185,17185
Warren,Illinois,17,187,17187
Washington,Illinois,17,189,17189
Wayne,Illinois,17,191,17191
White,Illinois,17,193,17193
Whiteside,Illinois,17,195,17195
Will,Illinois,17,197,17197
Williamson,Illinois,17,199,17199
Winnebago,Illinois,17,201,17201
Woodford,Illinois,17,203,17203
Adams,Indiana,18,1,18001
Allen,Indiana,18,3,18003
Bartholomew,Indiana,18,5,18005
Benton,Indiana,18,7,18007
Blackford,Indiana,18,9,18009
Boone,Indiana,18,11,18011
Brown,Indiana,18,13,18013
Carroll,Indiana,18,15,18015
Cass,Indiana,18,17,18017
Clark,Indiana,18,19,18019
Clay,Indiana,18,21,18021
Clinton,Indiana,18,23,18023
Crawford,Indiana,18,25,18025
Daviess,Indiana,18,27,18027
De Kalb,Indiana,18,33,18033
Dearborn,Indiana,18,29,18029
Decatur,Indiana,18,31,18031
Delaware,Indiana,18,35,18035
Dubois,Indiana,18,37,18037
Elkhart,Indiana,18,39,18039
Fayette,Indiana,18,41,18041
Floyd,Indiana,18,43,18043
Fountain,Indiana,18,45,18045
Franklin,Indiana,18,47,18047
Fulton,Indiana,18,49,18049
Gibson,Indiana,18,51,18051
Grant,Indiana,18,53,18053
Greene,Indiana,18,55,18055
Hamilton,Indiana,18,57,18057
Hancock,Indiana,18,59,18059
Harrison,Indiana,18,61,18061
Hendricks,Indiana,18,63,18063
Henry,Indiana,18,65,18065
Howard,Indiana,18,67,18067
Huntington,Indiana,18,69,18069
Jackson,Indiana,18,71,18071
Jasper,Indiana,18,73,18073
Jay,Indiana,18,75,18075
Jefferson,Indiana,18,77,18077
Jennings,Indiana,18,79,18079
Johnson,Indiana,18,81,18081
Knox,Indiana,18,83,18083
Kosciusko,Indiana,18,85,18085
La Porte,Indiana,18,91,18091
Lagrange,Indiana,18,87,18087
Lake,Indiana,18,89,18089
Lawrence,Indiana,18,93,18093
Madison,Indiana,18,95,18095
Marion,Indiana,18,97,18097
Marshall,Indiana,18,99,18099
Martin,Indiana,18,101,18101
Miami,Indiana,18,103,18103
Monroe,Indiana,18,105,18105
Montgomery,Indiana,18,107,18107
Morgan,Indiana,18,109,18109
Newton,Indiana,18,111,18111
Noble,Indiana,18,113,18113
Ohio,Indiana,18,115,18115
Orange,Indiana,18,117,18117
Owen,Indiana,18,119,18119
Parke,Indiana,18,121,18121
Perry,Indiana,18,123,18123
Pike,Indiana,18,125,18125
Porter,Indiana,18,127,18127
Posey,Indiana,18,129,18129
Pulaski,Indiana,18,131,18131
Putnam,Indiana,18,133,18133
Randolph,Indiana,18,135,18135
Ripley,Indiana,18,137,18137
Rush,Indiana,18,139,18139
Scott,Indiana,18,143,18143
Shelby,Indiana,18,145,18145
Spencer,Indiana,18,147,18147
St. Joseph,Indiana,18,141,18141
Starke,Indiana,18,149,18149
Steuben,Indiana,18,151,18151
Sullivan,Indiana,18,153,18153
Switzerland,Indiana,18,155,18155
Tippecanoe,Indiana,18,157,18157
Tipton,Indiana,18,159,18159
Union,Indiana,18,161,18161
Vanderburgh,Indiana,18,163,18163
Vermillion,Indiana,18,165,18165
Vigo,Indiana,18,167,18167
Wabash,Indiana,18,169,18169
Warren,Indiana,18,171,18171
Warrick,Indiana,18,173,18173
Washington,Indiana,18,175,18175
Wayne,Indiana,18,177,18177
Wells,Indiana,18,179,18179
White,Indiana,18,181,18181
Whitley,Indiana,18,183,18183
Adair,Iowa,19,1,19001
Adams,Iowa,19,3,19003
Allamakee,Iowa,19,5,19005
Appanoose,Iowa,19,7,19007
Audubon,Iowa,19,9,19009
Benton,Iowa,19,11,19011
Black Hawk,Iowa,19,13,19013
Boone,Iowa,19,15,19015
Bremer,Iowa,19,17,19017
Buchanan,Iowa,19,19,19019
Buena Vista,Iowa,19,21,19021
Butler,Iowa,19,23,19023
Calhoun,Iowa,19,25,19025
Carroll,Iowa,19,27,19027
Cass,Iowa,19,29,19029
Cedar,Iowa,19,31,19031
Cerro Gordo,Iowa,19,33,19033
Cherokee,Iowa,19,35,19035
Chickasaw,Iowa,19,37,19037
Clarke,Iowa,19,39,19039
Clay,Iowa,19,41,19041
Clayton,Iowa,19,43,19043
Clinton,Iowa,19,45,19045
Crawford,Iowa,19,47,19047
Dallas,Iowa,19,49,19049
Davis,Iowa,19,51,19051
Decatur,Iowa,19,53,19053
Delaware,Iowa,19,55,19055
Des Moines,Iowa,19,57,19057
Dickinson,Iowa,19,59,19059
Dubuque,Iowa,19,61,19061
Emmet,Iowa,19,63,19063
Fayette,Iowa,19,65,19065
Floyd,Iowa,19,67,19067
Franklin,Iowa,19,69,19069
Fremont,Iowa,19,71,19071
Greene,Iowa,19,73,19073
Grundy,Iowa,19,75,19075
Guthrie,Iowa,19,77,19077
Hamilton,Iowa,19,79,19079
Hancock,Iowa,19,81,19081
Hardin,Iowa,19,83,19083
Harrison,Iowa,19,85,19085
Henry,Iowa,19,87,19087
Howard,Iowa,19,89,19089
Humboldt,Iowa,19,91,19091
Ida,Iowa,19,93,19093
Iowa,Iowa,19,95,19095
Jackson,Iowa,19,97,19097
Jasper,Iowa,19,99,19099
Jefferson,Iowa,19,101,19101
Johnson,Iowa,19,103,19103
Jones,Iowa,19,105,19105
Keokuk,Iowa,19,107,19107
Kossuth,Iowa,19,109,19109
Lee,Iowa,19,111,19111
Linn,Iowa,19,113,19113
Louisa,Iowa,19,115,19115
Lucas,Iowa,19,117,19117
Lyon,Iowa,19,119,19119
Madison,Iowa,19,121,19121
Mahaska,Iowa,19,123,19123
Marion,Iowa,19,125,19125
Marshall,Iowa,19,127,19127
Mills,Iowa,19,129,19129
Mitchell,Iowa,19,131,19131
Monona,Iowa,19,133,19133
Monroe,Iowa,19,135,19135
Montgomery,Iowa,19,137,19137
Muscatine,Iowa,19,139,19139
O'Brien,Iowa,19,141,19141
Osceola,Iowa,19,143,19143
Page,Iowa,19,145,19145
Palo Alto,Iowa,19,147,19147
Plymouth,Iowa,19,149,19149
Pocahontas,Iowa,19,151,19151
